Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Software Libre,4,64,1,1
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Taller de Hardware y Software,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Administración de Sistemas,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Administración de Servicios,8,128,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Sistemas de Información,8,128,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Automatización y Scripting,4,64,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Administración de Sistemas Avanzada,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Aplicaciones Libres,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Administración de Sistemas y Software Libre,0895/12,Electiva,4,64,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Matemática General,8,128,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Introducción a la Programación,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Inglés Técnico,4,64,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Programación Estática y Laboratorio Web,8,128,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Introducción a la Programación Orientada a Objetos,8,128,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Conceptos de Base de Datos,4,64,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Programación Web Dinámica,10,160,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Arquitectura y Seguridad de Computadoras,8,128,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Diseño Gráfico,4,64,1,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Programación Web Avanzada,10,160,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,"Análisis, Diseño y Documentación de Sistemas",8,128,2,
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Framework e Interoperatividad,10,160,1,0
Ciencia y Tecnología,Tecnicatura Universitaria en Desarrollo Web,0885/12,Trabajo Final,10,160,1,
